GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pgr203-exam-ssovesen,no.kristiania.Dao,AbstractDao,24,145,0,4,6,38,1,8,1,6
pgr203-exam-ssovesen,no.kristiania.Dao,CategoryDao,0,104,0,0,0,26,0,7,0,7
pgr203-exam-ssovesen,no.kristiania.Dao,QuestionnaireDao,0,85,0,0,0,22,0,6,0,6
pgr203-exam-ssovesen,no.kristiania.Dao,AnswerDao,9,93,0,0,2,24,1,6,1,6
pgr203-exam-ssovesen,no.kristiania.Dao,QuestionDao,0,147,0,0,0,37,0,9,0,9
pgr203-exam-ssovesen,no.kristiania.Dao,PersonDao,0,95,0,0,0,24,0,6,0,6
pgr203-exam-ssovesen,no.kristiania.Http,HttpClient,0,55,0,0,0,12,0,5,0,5
pgr203-exam-ssovesen,no.kristiania.Http,HttpReader,83,287,7,19,15,58,7,18,1,11
pgr203-exam-ssovesen,no.kristiania.Http,HttpPostClient,0,46,0,0,0,11,0,3,0,3
pgr203-exam-ssovesen,no.kristiania.Http,HttpServer,207,84,0,2,44,22,3,7,3,6
pgr203-exam-ssovesen,no.kristiania.Controller,NewQuestionnaireController,0,42,0,0,0,9,0,2,0,2
pgr203-exam-ssovesen,no.kristiania.Controller,ListQuestionController,34,0,2,0,8,0,3,0,2,0
pgr203-exam-ssovesen,no.kristiania.Controller,SavePersonController,54,0,0,0,11,0,2,0,2,0
pgr203-exam-ssovesen,no.kristiania.Controller,EditQuestionController,62,0,0,0,12,0,2,0,2,0
pgr203-exam-ssovesen,no.kristiania.Controller,ShowQuestionnaireQuestionsController,15,117,0,6,3,26,0,5,0,2
pgr203-exam-ssovesen,no.kristiania.Controller,FileController,22,77,3,7,5,19,3,4,0,2
pgr203-exam-ssovesen,no.kristiania.Controller,AnswerQuestionnaireController,51,42,1,3,12,9,1,3,0,2
pgr203-exam-ssovesen,no.kristiania.Controller,DeleteQuestionController,36,0,0,0,7,0,2,0,2,0
pgr203-exam-ssovesen,no.kristiania.Controller,NewCategoryController,0,51,0,0,0,11,0,2,0,2
pgr203-exam-ssovesen,no.kristiania.Controller,ListQuestionnairesController,0,34,0,2,0,8,0,3,0,2
pgr203-exam-ssovesen,no.kristiania.Controller,ShowAnswersController,99,0,4,0,20,0,4,0,2,0
pgr203-exam-ssovesen,no.kristiania.Controller,ListCategoriesController,0,34,0,2,0,8,0,3,0,2
pgr203-exam-ssovesen,no.kristiania.Controller,NewQuestionController,0,66,0,0,0,14,0,2,0,2
pgr203-exam-ssovesen,no.kristiania.Controller,UserInputController,56,0,4,0,14,0,4,0,2,0
pgr203-exam-ssovesen,no.kristiania.Objects,Category,0,31,0,0,0,13,0,9,0,9
pgr203-exam-ssovesen,no.kristiania.Objects,Questionnaire,0,24,0,0,0,11,0,7,0,7
pgr203-exam-ssovesen,no.kristiania.Objects,Question,0,45,0,0,0,19,0,13,0,13
pgr203-exam-ssovesen,no.kristiania.Objects,Person,0,31,0,0,0,13,0,9,0,9
pgr203-exam-ssovesen,no.kristiania.Objects,Answer,0,31,0,0,0,13,0,9,0,9
